id,hoehe,geobreite,geolaenge,stationsname,bundesland
00003,202,50.7827, 6.0941,Aachen                              ,Nordrhein-Westfalen   
00044, 44,52.9336, 8.2370,Großenkneten                        ,Niedersachsen         
00052, 46,53.6623,10.1990,Ahrensburg-Wulfsdorf                ,Schleswig-Holstein    
00071,759,48.2156, 8.9784,Albstadt-Badkap                     ,Baden-Württemberg     
00073,374,48.6183,13.0620,Aldersbach-Kramersepp               ,Bayern                
00078, 64,52.4853, 7.9125,Alfhausen                           ,Niedersachsen         
00091,300,50.7446, 9.3450,Alsfeld-Eifa                        ,Hessen                
00096, 50,52.9437,12.8518,Neuruppin-Alt Ruppin                ,Brandenburg           
00102,  0,53.8633, 8.1275,Leuchtturm Alte Weser               ,Niedersachsen         
00106,500,51.7976,10.4429,Altenau                             ,Niedersachsen         
00125,742,47.8342,10.8667,Altenstadt                          ,Bayern                
00131,296,51.0881,12.9326,Geringswalde-Altgeringswalde        ,Sachsen               
00142,511,48.4060,11.3117,Altomünster-Maisbrunn               ,Bayern                
00150,215,49.7273, 8.1164,Alzey                               ,Rheinland-Pfalz       
00151,382,49.4691,11.8546,Amberg-Unterammersricht             ,Bayern                
00154,516,48.0197,12.2925,Amerang-Pfaffing                    ,Bayern                
00161, 75,50.4237, 7.4202,Andernach                           ,Rheinland-Pfalz       
00164, 54,53.0316,13.9908,Angermünde                          ,Brandenburg           
00167, 11,53.8409,13.6854,Anklam                              ,Mecklenburg-Vorpommern
00175,413,49.2964,10.5751,Ansbach                             ,Bayern                
00181, 30,52.8761,11.5042,Arendsee                            ,Sachsen-Anhalt        
00183, 42,54.6791,13.4344,Arkona                              ,Mecklenburg-Vorpommern
00191,217,49.9694, 9.9114,Arnstein-Müdesheim                  ,Bayern                
00198,164,51.3744,11.2920,Artern                              ,Thüringen             
00217,670,47.8774,11.3643,Attenkam                            ,Bayern                
00222,393,50.5908,12.7139,Aue                                 ,Sachsen               
00232,462,48.4253,10.9417,Augsburg                            ,Bayern                
00257,240,48.7270, 8.2457,Baden-Baden-Geroldsau               ,Baden-Württemberg     
00259,275,47.8064, 7.6387,Müllheim                            ,Baden-Württemberg     
00268,622,48.5293, 8.2727,Baiersbronn-Obertal                 ,Baden-Württemberg     
00282,240,49.8743,10.9206,Bamberg                             ,Bayern                
00284,282,49.8800,10.8800,Bamberg (Sternwarte)                ,Bayern                
00294,110,52.3199, 9.4300,Barsinghausen-Hohenbostel           ,Niedersachsen         
00298,  3,54.3405,12.7108,Barth                               ,Mecklenburg-Vorpommern
00303, 55,52.0613,13.4997,Baruth                              ,Brandenburg           
00314,234,51.1604,14.5042,"Kubschütz, Kr. Bautzen              ",Sachsen               
00320,350,49.9666,11.5198,Heinersreuth-Vollhof                ,Bayern                
00326,120,51.7204, 8.0577,Beckum-Unterberg                    ,Nordrhein-Westfalen   
00330,455,49.5617, 8.9673,Oberzent-Beerfelden                 ,Hessen                
00342,103,52.3170, 8.1694,Belm                                ,Niedersachsen         
00348,127,50.4135, 7.5886,Bendorf                             ,Rheinland-Pfalz       
00350,540,51.6715,10.7268,Benneckenstein                      ,Sachsen-Anhalt        
00361,550,47.6344,13.0109,Berchtesgaden (KKst)                ,Bayern                
00368, 69,52.8152, 9.9248,Bergen                              ,Niedersachsen         
00377,210,49.1070, 7.9967,"Bergzabern, Bad                     ",Rheinland-Pfalz       
00379,304,50.9075,11.2665,"Berka, Bad (Flugplatz)              ",Thüringen             
00390,610,50.9837, 8.3683,"Berleburg, Bad-Stünzel              ",Nordrhein-Westfalen   
00399, 36,52.5198,13.4057,Berlin-Alexanderplatz               ,Berlin                
00400, 60,52.6310,13.5021,Berlin-Buch                         ,Berlin                
00403, 51,52.4537,13.3017,Berlin-Dahlem (FU)                  ,Berlin                
00410, 33,52.4040,13.7309,Berlin-Kaniswall                    ,Berlin                
00420, 61,52.5447,13.5598,Berlin-Marzahn                      ,Berlin                
00424, 36,52.5000,13.4667,Berlin-Ostkreuz                     ,Berlin                
00427, 46,52.3807,13.5306,Berlin Brandenburg                  ,Brandenburg           
00430, 36,52.5644,13.3088,Berlin-Tegel                        ,Berlin                
00433, 48,52.4676,13.4020,Berlin-Tempelhof                    ,Berlin                
00445, 85,51.8218,11.7110,Bernburg/Saale (Nord)               ,Sachsen-Anhalt        
00450,120,49.9186, 7.0664,Bernkastel-Kues                     ,Rheinland-Pfalz       
00460,362,49.2641, 6.6868,Berus                               ,Saarland              
00474,599,48.1252, 9.7639,Warthausen-Birkenhard               ,Baden-Württemberg     
00535,417,50.0372, 7.3079,Blankenrath                         ,Rheinland-Pfalz       
00553, 25,51.8380, 6.6107,Bocholt (Marienschule)              ,Nordrhein-Westfalen   
00554, 23,51.8293, 6.5365,Bocholt-Liedern (Wasserwerk)        ,Nordrhein-Westfalen   
00555,110,51.5026, 7.2289,Bochum                              ,Nordrhein-Westfalen   
00591, 45,53.3911,10.6878,Boizenburg                          ,Mecklenburg-Vorpommern
00596, 15,54.0027,11.1908,Boltenhagen                         ,Mecklenburg-Vorpommern
00598, 62,50.7285, 7.0839,Bonn                                ,Nordrhein-Westfalen   
00599, 62,50.7055, 7.1467,Bonn-Friesdorf                      ,Nordrhein-Westfalen   
00603,147,50.7293, 7.2040,Königswinter-Heiderhof              ,Nordrhein-Westfalen   
00617, 47,51.8730, 6.8863,Borken in Westfalen                 ,Nordrhein-Westfalen   
00656,607,51.7234,10.6021,Braunlage                           ,Niedersachsen         
00662, 81,52.2915,10.4464,Braunschweig                        ,Niedersachsen         
00685,585,49.9017, 9.4281,Breitsol                            ,Bayern                
00691,  4,53.0451, 8.7981,Bremen                              ,Bremen                
00701,  7,53.5332, 8.5761,Bremerhaven                         ,Bremen                
00704, 11,53.4451, 9.1390,Bremervörde                         ,Niedersachsen         
00722,135,51.7986,10.6183,Brocken                             ,Sachsen-Anhalt        
00755,340,49.5182, 9.3213,"Buchen, Kr. Neckar-Odenwald         ",Baden-Württemberg     
00757,445,47.9625, 7.9983,Buchenbach                          ,Baden-Württemberg     
00760, 83,53.3629, 9.9435,Rosengarten-Klecken                 ,Niedersachsen         
00766,477,50.1745, 7.0595,Büchel-Alflen                       ,Rheinland-Pfalz       
00769, 68,52.2817, 9.0890,Bückeburg                           ,Niedersachsen         
00817,293,51.0306, 8.8146,Burgwald-Bottendorf                 ,Hessen                
00840,895,50.4313,12.6114,Carlsfeld                           ,Sachsen               
00850, 45,52.5959,10.0296,Celle                               ,Niedersachsen         
00853,416,50.7913,12.8720,Chemnitz                            ,Sachsen               
00856,551,47.8843,12.5404,Chieming                            ,Bayern                
00860, 80,52.2731,10.0163,Algermissen-Groß Lobke              ,Niedersachsen         
00863,585,51.7904,10.3470,Clausthal-Zellerfeld                ,Niedersachsen         
00867,344,50.3066,10.9679,Lautertal-Oberlauter                ,Bayern                
00876,314,51.3040,13.0096,Collmberg                           ,Sachsen               
00879, 68,51.7667,14.2833,Cottbus (Flugplatz)                 ,Brandenburg           
00880, 69,51.7759,14.3168,Cottbus                             ,Brandenburg           
00891,  5,53.8713, 8.7060,Cuxhaven                            ,Niedersachsen         
00896,170,51.0778,10.8619,Dachwig                             ,Thüringen             
00917,162,49.8809, 8.6779,Darmstadt                           ,Hessen                
00919,169,49.8697, 8.6796,Darmstadt-Botanischer Garten        ,Hessen                
00920,108,49.8564, 8.5929,Darmstadt (US-Air-Base)             ,Hessen                
00953,481,49.7619, 7.0542,Deuselbach                          ,Rheinland-Pfalz       
00954,  0,54.1796, 7.4587,UFS Deutsche Bucht                  ,Hamburg               
00963, 38,52.5881, 8.3424,Diepholz                            ,Niedersachsen         
00979,314,50.7364, 8.2672,Dillenburg                          ,Hessen                
00982,420,48.5701,10.4985,Dillingen/Donau                     ,Bayern                
00983,419,48.5562,10.5599,Dillingen/Donau-Fristingen          ,Bayern                
00991,359,50.9116,13.7087,Dippoldiswalde-Reinberg             ,Sachsen               
00998,696,48.7968, 8.4921,Dobel                               ,Baden-Württemberg     
01001, 97,51.6451,13.5747,Doberlug-Kirchhain                  ,Brandenburg           
01048,228,51.1278,13.7543,Dresden-Klotzsche                   ,Sachsen               
01050,112,51.0221,13.8470,Dresden-Hosterwitz                  ,Sachsen               
