id,hoehe,geobreite,geolaenge,stationsname,bundesland
3,202,50.7827,6.0941,Aachen                              ,Nordrhein-Westfalen   
96,50,52.9437,12.8518,Neuruppin-Alt Ruppin                ,Brandenburg           
102,0,53.8633,8.1275,Leuchtturm Alte Weser               ,Niedersachsen         
164,54,53.0316,13.9908,Angermünde                          ,Brandenburg           
175,413,49.2964,10.5751,Ansbach                             ,Bayern                
217,670,47.8774,11.3643,Attenkam                            ,Bayern                
222,393,50.5908,12.7139,Aue                                 ,Sachsen               
232,462,48.4253,10.9417,Augsburg                            ,Bayern                
377,210,49.107,7.9967,"Bergzabern, Bad                     ",Rheinland-Pfalz       
399,36,52.5198,13.4057,Berlin-Alexanderplatz               ,Berlin                
445,85,51.8218,11.711,Bernburg/Saale (Nord)               ,Sachsen-Anhalt        
474,599,48.1252,9.7639,Warthausen-Birkenhard               ,Baden-Württemberg     
591,45,53.3911,10.6878,Boizenburg                          ,Mecklenburg-Vorpommern
596,15,54.0027,11.1908,Boltenhagen                         ,Mecklenburg-Vorpommern
704,11,53.4451,9.139,Bremervörde                         ,Niedersachsen         
766,477,50.1745,7.0595,Büchel-Alflen                       ,Rheinland-Pfalz       
860,80,52.2731,10.0163,Algermissen-Groß Lobke              ,Niedersachsen         
920,108,49.8564,8.5929,Darmstadt (US-Air-Base)             ,Hessen                
954,0,54.1796,7.4587,UFS Deutsche Bucht                  ,Hamburg               
983,419,48.5562,10.5599,Dillingen/Donau-Fristingen          ,Bayern                
998,696,48.7968,8.4921,Dobel                               ,Baden-Württemberg     
1207,558,50.2705,12.2742,"Elster, Bad-Sohl                    ",Sachsen               
1214,431,48.2012,8.1088,Elzach-Fisnacht                     ,Baden-Württemberg     
1219,5,53.3449,7.1909,Emden-Nesserland                    ,Niedersachsen         
1303,150,51.4041,6.9677,Essen-Bredeney                      ,Nordrhein-Westfalen   
1339,76,52.9157,10.1885,Faßberg                             ,Niedersachsen         
1426,65,52.3397,14.508,Frankfurt/Oder                      ,Brandenburg           
1639,203,50.6017,8.6439,Gießen/Wettenberg                   ,Hessen                
1666,12,54.8273,9.5058,Glücksburg-Meierwik                 ,Schleswig-Holstein    
1684,239,51.1621,14.9506,Görlitz                             ,Sachsen               
1691,167,51.5002,9.9507,Göttingen                           ,Niedersachsen         
1721,506,49.664,11.2239,Gräfenberg-Kasberg                  ,Bayern                
1792,27,52.7553,7.4815,Groß Berßen                         ,Niedersachsen         
1960,102,51.4831,11.9671,Halle (Stadt)                       ,Sachsen-Anhalt        
2014,55,52.4644,9.6779,Hannover                            ,Niedersachsen         
2167,302,49.7672,7.3356,Niederwörresbach                    ,Rheinland-Pfalz       
2252,271,50.8992,14.7456,Bertsdorf-Hörnitz                   ,Sachsen               
2290,977,47.8009,11.0108,Hohenpeißenberg                     ,Bayern                
2306,8,54.3194,10.6732,Hohwacht                            ,Schleswig-Holstein    
2362,328,50.5651,7.4843,Hümmerich                           ,Rheinland-Pfalz       
2437,21,54.457,9.5203,Schleswig-Jagel                     ,Schleswig-Holstein    
2444,155,50.9251,11.583,Jena (Sternwarte)                   ,Thüringen             
2486,271,49.4262,7.7557,Kaiserslautern                      ,Rheinland-Pfalz       
2494,31,51.7329,6.2688,Kalkar                              ,Nordrhein-Westfalen   
2564,28,54.3776,10.1424,Kiel-Holtenau                       ,Schleswig-Holstein    
2578,14,53.9995,11.4341,Kirchdorf/Poel                      ,Mecklenburg-Vorpommern
2600,193,49.7363,10.1781,Kitzingen                           ,Bayern                
2700,416,48.8302,11.4872,Kösching                            ,Bayern                
2761,520,48.251,10.4163,Krumbach-Edenhausen                 ,Bayern                
2856,91,51.9173,13.0878,Langenlipsdorf                      ,Brandenburg           
2907,7,54.7903,8.9514,Leck                                ,Schleswig-Holstein    
2947,286,51.1333,8.0348,Lennestadt-Theten                   ,Nordrhein-Westfalen   
2951,20,53.1007,11.4864,Lenzen/Elbe                         ,Brandenburg           
2961,0,54.4996,10.2737,Leuchtturm Kiel                     ,Schleswig-Holstein    
3015,98,52.2085,14.118,Lindenberg                          ,Brandenburg           
3042,230,50.5617,8.2386,Löhnberg-Obershausen                ,Hessen                
3083,57,51.9267,13.8797,Lübben-Blumenfelde                  ,Brandenburg           
3093,16,52.9724,11.1374,Lüchow                              ,Niedersachsen         
3137,195,49.9656,8.2139,Mainz-Lerchenberg (ZDF)             ,Rheinland-Pfalz       
3164,187,50.8492,8.7745,"Cölbe, Kr. Marburg-Biedenkopf       ",Hessen                
3274,415,49.507,6.5215,Mettlach-Orscholz (Kurort)          ,Saarland              
3278,354,48.5377,9.2734,Metzingen                           ,Baden-Württemberg     
3284,240,49.6692,9.0085,Michelstadt                         ,Hessen                
3289,356,50.7281,11.7838,Schmieritz-Weltwitz                 ,Thüringen             
3307,984,47.4779,11.2653,Mittenwald-Buckelwiesen             ,Bayern                
3319,239,49.7644,9.253,Röllbach                            ,Bayern                
3321,76,51.1313,6.3608,Mönchengladbach-Hilderath           ,Nordrhein-Westfalen   
3379,515,48.1632,11.5429,München-Stadt                       ,Bayern                
3485,486,48.3115,10.3773,Neuburg/Kammel-Langenhaslach        ,Bayern                
3490,111,50.5346,7.0853,"Neuenahr, Bad-Ahrweiler             ",Rheinland-Pfalz       
