STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
         44;2022080600;    3;  10.7;  90.0;eor
         44;2022080601;    3;  11.3;  87.0;eor
         44;2022080602;    3;  10.6;  90.0;eor
         44;2022080603;    3;   9.8;  93.0;eor
         44;2022080604;    3;   9.8;  94.0;eor
         44;2022080605;    3;  10.1;  92.0;eor
         44;2022080606;    3;  12.7;  80.0;eor
         44;2022080607;    3;  15.4;  72.0;eor
         44;2022080608;    3;  17.2;  65.0;eor
         44;2022080609;    3;  18.7;  59.0;eor
         44;2022080610;    3;  19.4;  51.0;eor
         44;2022080611;    3;  19.6;  49.0;eor
         44;2022080612;    3;  18.5;  57.0;eor
         44;2022080613;    3;  20.8;  45.0;eor
         44;2022080614;    3;  18.8;  57.0;eor
         44;2022080615;    3;  19.6;  52.0;eor
         44;2022080616;    3;  19.3;  52.0;eor
         44;2022080617;    3;  19.1;  57.0;eor
         44;2022080618;    3;  18.7;  55.0;eor
         44;2022080619;    3;  15.6;  71.0;eor
         44;2022080620;    3;  14.0;  81.0;eor
         44;2022080621;    3;  13.0;  87.0;eor
         44;2022080622;    3;  11.0;  93.0;eor
         44;2022080623;    3;  10.5;  97.0;eor
         44;2022080700;    3;   9.7;  98.0;eor
         44;2022080701;    3;   9.2;  98.0;eor
         44;2022080702;    3;   8.7;  99.0;eor
         44;2022080703;    3;   8.2;  99.0;eor
         44;2022080704;    3;   8.0;  98.0;eor
         44;2022080705;    3;   9.0;  98.0;eor
         44;2022080706;    3;  12.7;  85.0;eor
         44;2022080707;    3;  15.9;  71.0;eor
         44;2022080708;    3;  18.3;  54.0;eor
         44;2022080709;    3;  19.6;  51.0;eor
         44;2022080710;    3;  20.4;  50.0;eor
         44;2022080711;    3;  21.6;  46.0;eor
         44;2022080712;    3;  20.6;  49.0;eor
         44;2022080713;    3;  22.5;  43.0;eor
         44;2022080714;    3;  23.3;  43.0;eor
         44;2022080715;    3;  22.7;  45.0;eor
         44;2022080716;    3;  23.0;  42.0;eor
         44;2022080717;    3;  22.5;  44.0;eor
         44;2022080718;    3;  21.7;  47.0;eor
         44;2022080719;    3;  18.7;  63.0;eor
         44;2022080720;    3;  16.0;  79.0;eor
         44;2022080721;    3;  14.5;  86.0;eor
         44;2022080722;    3;  13.3;  89.0;eor
         44;2022080723;    3;  12.3;  92.0;eor
         44;2022080800;    3;  11.1;  95.0;eor
         44;2022080801;    3;  10.6;  97.0;eor
         44;2022080802;    3;  10.0;  97.0;eor
         44;2022080803;    3;   9.9; 100.0;eor
         44;2022080804;    3;   9.5;  99.0;eor
         44;2022080805;    3;  10.5;  98.0;eor
         44;2022080806;    3;  14.4;  84.0;eor
         44;2022080807;    3;  17.2;  78.0;eor
         44;2022080808;    3;  18.9;  62.0;eor
         44;2022080809;    3;  20.8;  58.0;eor
         44;2022080810;    3;  21.2;  53.0;eor
         44;2022080811;    3;  22.4;  47.0;eor
         44;2022080812;    3;  21.9;  54.0;eor
         44;2022080813;    3;  21.7;  55.0;eor
         44;2022080814;    3;  23.1;  55.0;eor
         44;2022080815;    3;  22.0;  56.0;eor
         44;2022080816;    3;  22.0;  54.0;eor
         44;2022080817;    3;  21.8;  54.0;eor
         44;2022080818;    3;  20.6;  61.0;eor
         44;2022080819;    3;  18.2;  75.0;eor
         44;2022080820;    3;  16.3;  85.0;eor
         44;2022080821;    3;  15.6;  90.0;eor
         44;2022080822;    3;  14.9;  93.0;eor
         44;2022080823;    3;  14.1;  96.0;eor
         44;2022080900;    3;  12.7;  99.0;eor
         44;2022080901;    3;  12.0;  99.0;eor
         44;2022080902;    3;  12.2;  98.0;eor
